geo,indicator,date,value,unit,sub_indicator_short
ES,population_by_age_group,2021,14.2,%,Proportion of population aged 0-14 years
ES,population_by_age_group,2022,13.9,%,Proportion of population aged 0-14 years
ES,population_by_age_group,2023,13.6,%,Proportion of population aged 0-14 years
ES,population_by_age_group,2024,13.2,%,Proportion of population aged 0-14 years
ES,population_by_age_group,2025,12.9,%,Proportion of population aged 0-14 years
ES,population_by_age_group,2021,10.1,%,Proportion of population aged 15-24 years
ES,population_by_age_group,2022,10.3,%,Proportion of population aged 15-24 years
ES,population_by_age_group,2023,10.5,%,Proportion of population aged 15-24 years
ES,population_by_age_group,2024,10.8,%,Proportion of population aged 15-24 years
ES,population_by_age_group,2025,11.0,%,Proportion of population aged 15-24 years
ES,population_by_age_group,2021,34.7,%,Proportion of population aged 25-49 years
ES,population_by_age_group,2022,34.1,%,Proportion of population aged 25-49 years
ES,population_by_age_group,2023,33.8,%,Proportion of population aged 25-49 years
ES,population_by_age_group,2024,33.5,%,Proportion of population aged 25-49 years
ES,population_by_age_group,2025,33.1,%,Proportion of population aged 25-49 years
ES,population_by_age_group,2021,21.4,%,Proportion of population aged 50-64 years
ES,population_by_age_group,2022,21.7,%,Proportion of population aged 50-64 years
ES,population_by_age_group,2023,21.9,%,Proportion of population aged 50-64 years
ES,population_by_age_group,2024,22.1,%,Proportion of population aged 50-64 years
ES,population_by_age_group,2025,22.3,%,Proportion of population aged 50-64 years
ES,population_by_age_group,2021,13.6,%,Proportion of population aged 65-79 years
ES,population_by_age_group,2022,13.9,%,Proportion of population aged 65-79 years
ES,population_by_age_group,2023,14.2,%,Proportion of population aged 65-79 years
ES,population_by_age_group,2024,14.4,%,Proportion of population aged 65-79 years
ES,population_by_age_group,2025,14.5,%,Proportion of population aged 65-79 years
ES,population_by_age_group,2021,6.0,%,Proportion of population aged 80 years and more
ES,population_by_age_group,2022,6.0,%,Proportion of population aged 80 years and more
ES,population_by_age_group,2023,6.0,%,Proportion of population aged 80 years and more
ES,population_by_age_group,2024,6.1,%,Proportion of population aged 80 years and more
ES,population_by_age_group,2025,6.2,%,Proportion of population aged 80 years and more
FR,population_by_age_group,2021,17.7,%,Proportion of population aged 0-14 years
FR,population_by_age_group,2022,17.4,%,Proportion of population aged 0-14 years
FR,population_by_age_group,2023,17.2,%,Proportion of population aged 0-14 years
FR,population_by_age_group,2024,16.9,%,Proportion of population aged 0-14 years
FR,population_by_age_group,2025,16.6,%,Proportion of population aged 0-14 years
FR,population_by_age_group,2021,11.9,%,Proportion of population aged 15-24 years
FR,population_by_age_group,2022,11.9,%,Proportion of population aged 15-24 years
FR,population_by_age_group,2023,12.0,%,Proportion of population aged 15-24 years
