geo,indicator,date,month,value,unit
ESP,population,2021,,47.487,millions_of_people
ESP,population,2022,,48.085,millions_of_people
ESP,population,2023,,48.628,millions_of_people
ESP,population,2024,,49.078,millions_of_people
ESP,population,2025,,49.721,millions_of_people
ESP,population,2026,,50.314,millions_of_people
ESP,population,2027,,50.84,millions_of_people
ESP,population,2028,,51.294,millions_of_people
ESP,population,2029,,51.679,millions_of_people
ESP,population,2030,,52.004,millions_of_people
FRA,population,2021,,67.697,millions_of_people
FRA,population,2022,,68.06,millions_of_people
FRA,population,2023,,68.246,millions_of_people
FRA,population,2024,,68.437,millions_of_people
FRA,population,2025,,68.628,millions_of_people
FRA,population,2026,,68.821,millions_of_people
FRA,population,2027,,69.014,millions_of_people
FRA,population,2028,,69.207,millions_of_people
FRA,population,2029,,69.401,millions_of_people
FRA,population,2030,,69.596,millions_of_people
DEU,population,2021,,81.995,millions_of_people
DEU,population,2022,,82.529,millions_of_people
DEU,population,2023,,83.287,millions_of_people
DEU,population,2024,,83.517,millions_of_people
DEU,population,2025,,83.664,millions_of_people
DEU,population,2026,,83.777,millions_of_people
DEU,population,2027,,83.845,millions_of_people
DEU,population,2028,,83.874,millions_of_people
DEU,population,2029,,83.891,millions_of_people
DEU,population,2030,,83.893,millions_of_people
ESP,unemployment_rate,2021,,14.9,percent
ESP,unemployment_rate,2022,,13.0,percent
ESP,unemployment_rate,2023,,12.2,percent
ESP,unemployment_rate,2024,,11.3,percent
ESP,unemployment_rate,2025,,10.8,percent
FRA,unemployment_rate,2021,,7.9,percent
FRA,unemployment_rate,2022,,7.3,percent
FRA,unemployment_rate,2023,,7.3,percent
FRA,unemployment_rate,2024,,7.4,percent
FRA,unemployment_rate,2025,,7.6,percent
DEU,unemployment_rate,2021,,3.6,percent
DEU,unemployment_rate,2022,,3.1,percent
DEU,unemployment_rate,2023,,3.1,percent
DEU,unemployment_rate,2024,,3.4,percent
DEU,unemployment_rate,2025,,3.7,percent
ESP,gdp_current_prices,2016,,1242.673,billions_of_dollars
ESP,gdp_current_prices,2017,,1321.288,billions_of_dollars
ESP,gdp_current_prices,2018,,1432.292,billions_of_dollars
ESP,gdp_current_prices,2019,,1403.651,billions_of_dollars
ESP,gdp_current_prices,2020,,1288.751,billions_of_dollars
ESP,gdp_current_prices,2021,,1462.216,billions_of_dollars
ESP,gdp_current_prices,2022,,1449.99,billions_of_dollars
ESP,gdp_current_prices,2023,,1619.949,billions_of_dollars
ESP,gdp_current_prices,2024,,1725.152,billions_of_dollars
ESP,gdp_current_prices,2025,,1891.371,billions_of_dollars
FRA,gdp_current_prices,2016,,2469.726,billions_of_dollars
FRA,gdp_current_prices,2017,,2587.955,billions_of_dollars
FRA,gdp_current_prices,2018,,2782.838,billions_of_dollars
FRA,gdp_current_prices,2019,,2723.094,billions_of_dollars
FRA,gdp_current_prices,2020,,2645.806,billions_of_dollars
FRA,gdp_current_prices,2021,,2968.405,billions_of_dollars
FRA,gdp_current_prices,2022,,2796.987,billions_of_dollars
FRA,gdp_current_prices,2023,,3061.093,billions_of_dollars
FRA,gdp_current_prices,2024,,3160.902,billions_of_dollars
FRA,gdp_current_prices,2025,,3361.557,billions_of_dollars
DEU,gdp_current_prices,2016,,3535.812,billions_of_dollars
DEU,gdp_current_prices,2017,,3764.023,billions_of_dollars
DEU,gdp_current_prices,2018,,4057.272,billions_of_dollars
DEU,gdp_current_prices,2019,,3960.332,billions_of_dollars
DEU,gdp_current_prices,2020,,3938.244,billions_of_dollars
DEU,gdp_current_prices,2021,,4358.147,billions_of_dollars
DEU,gdp_current_prices,2022,,4204.327,billions_of_dollars
DEU,gdp_current_prices,2023,,4563.523,billions_of_dollars
DEU,gdp_current_prices,2024,,4684.182,billions_of_dollars
DEU,gdp_current_prices,2025,,5013.574,billions_of_dollars
ESP,gdp_per_capita_current_prices,2016,,26725.642,dollars_per_capita
ESP,gdp_per_capita_current_prices,2017,,28326.416,dollars_per_capita
ESP,gdp_per_capita_current_prices,2018,,30526.94,dollars_per_capita
