geo,indicator,date,month,value,unit,sub_indicator_short
ES,arrivals_at_tourist_accommodation_establishments,2015,,93216968.0,NR,
ES,arrivals_at_tourist_accommodation_establishments,2016,,99840032.0,NR,
ES,arrivals_at_tourist_accommodation_establishments,2017,,103787168.0,NR,
ES,arrivals_at_tourist_accommodation_establishments,2018,,105311465.0,NR,
ES,arrivals_at_tourist_accommodation_establishments,2019,,108716046.0,NR,
ES,arrivals_at_tourist_accommodation_establishments,2020,,34589072.0,NR,
ES,arrivals_at_tourist_accommodation_establishments,2021,,60724131.0,NR,
ES,arrivals_at_tourist_accommodation_establishments,2022,,102882568.0,NR,
ES,arrivals_at_tourist_accommodation_establishments,2023,,111991774.0,NR,
ES,arrivals_at_tourist_accommodation_establishments,2024,,116166159.0,NR,
FR,arrivals_at_tourist_accommodation_establishments,2015,,113893218.0,NR,
FR,arrivals_at_tourist_accommodation_establishments,2016,,113894796.0,NR,
FR,arrivals_at_tourist_accommodation_establishments,2017,,119358404.0,NR,
FR,arrivals_at_tourist_accommodation_establishments,2018,,121347730.0,NR,
FR,arrivals_at_tourist_accommodation_establishments,2019,,123427258.0,NR,
FR,arrivals_at_tourist_accommodation_establishments,2020,,59668239.0,NR,
FR,arrivals_at_tourist_accommodation_establishments,2021,,77227709.0,NR,
FR,arrivals_at_tourist_accommodation_establishments,2022,,115313668.0,NR,
FR,arrivals_at_tourist_accommodation_establishments,2023,,120732180.0,NR,
FR,arrivals_at_tourist_accommodation_establishments,2024,,120181637.0,NR,
DE,arrivals_at_tourist_accommodation_establishments,2015,,131674079.0,NR,
DE,arrivals_at_tourist_accommodation_establishments,2016,,135479317.0,NR,
DE,arrivals_at_tourist_accommodation_establishments,2017,,141138467.0,NR,
DE,arrivals_at_tourist_accommodation_establishments,2018,,145589880.0,NR,
DE,arrivals_at_tourist_accommodation_establishments,2019,,149817309.0,NR,
DE,arrivals_at_tourist_accommodation_establishments,2020,,72541993.0,NR,
DE,arrivals_at_tourist_accommodation_establishments,2021,,71772542.0,NR,
DE,arrivals_at_tourist_accommodation_establishments,2022,,124601264.0,NR,
DE,arrivals_at_tourist_accommodation_establishments,2023,,141225234.0,NR,
DE,arrivals_at_tourist_accommodation_establishments,2024,,146236303.0,NR,
ES,arrivals_by_origin_hotels_number,2020,,32145443.0,NR,Europe
ES,arrivals_by_origin_hotels_number,2021,,57350475.0,NR,Europe
ES,arrivals_by_origin_hotels_number,2022,,92903580.0,NR,Europe
ES,arrivals_by_origin_hotels_number,2023,,98560812.0,NR,Europe
ES,arrivals_by_origin_hotels_number,2024,,101070352.0,NR,Europe
ES,arrivals_by_origin_hotels_number,2020,,336608.0,NR,Belgium
ES,arrivals_by_origin_hotels_number,2021,,783529.0,NR,Belgium
ES,arrivals_by_origin_hotels_number,2022,,1383994.0,NR,Belgium
ES,arrivals_by_origin_hotels_number,2023,,1433063.0,NR,Belgium
ES,arrivals_by_origin_hotels_number,2024,,1538185.0,NR,Belgium
ES,arrivals_by_origin_hotels_number,2020,,41720.0,NR,Bulgaria
ES,arrivals_by_origin_hotels_number,2021,,57425.0,NR,Bulgaria
ES,arrivals_by_origin_hotels_number,2022,,115618.0,NR,Bulgaria
ES,arrivals_by_origin_hotels_number,2023,,152373.0,NR,Bulgaria
ES,arrivals_by_origin_hotels_number,2024,,166094.0,NR,Bulgaria
ES,arrivals_by_origin_hotels_number,2020,,49531.0,NR,Czechia
ES,arrivals_by_origin_hotels_number,2021,,160833.0,NR,Czechia
ES,arrivals_by_origin_hotels_number,2022,,323945.0,NR,Czechia
ES,arrivals_by_origin_hotels_number,2023,,380627.0,NR,Czechia
ES,arrivals_by_origin_hotels_number,2024,,392960.0,NR,Czechia
ES,arrivals_by_origin_hotels_number,2020,,127966.0,NR,Denmark
ES,arrivals_by_origin_hotels_number,2021,,321064.0,NR,Denmark
ES,arrivals_by_origin_hotels_number,2022,,595537.0,NR,Denmark
ES,arrivals_by_origin_hotels_number,2023,,608568.0,NR,Denmark
ES,arrivals_by_origin_hotels_number,2024,,621968.0,NR,Denmark
ES,arrivals_by_origin_hotels_number,2020,,1251116.0,NR,Germany
ES,arrivals_by_origin_hotels_number,2021,,3085009.0,NR,Germany
ES,arrivals_by_origin_hotels_number,2022,,6592065.0,NR,Germany
ES,arrivals_by_origin_hotels_number,2023,,7238912.0,NR,Germany
ES,arrivals_by_origin_hotels_number,2024,,7656443.0,NR,Germany
ES,arrivals_by_origin_hotels_number,2020,,14576.0,NR,Estonia
ES,arrivals_by_origin_hotels_number,2021,,32664.0,NR,Estonia
ES,arrivals_by_origin_hotels_number,2022,,72433.0,NR,Estonia
