geo,year,seasonality_ratio,classification
DE,2020,0.4210702226716605,Moderate seasonality
DE,2021,0.47886053445114374,High seasonality
DE,2022,0.33359530138015797,Low seasonality
DE,2023,0.30669787282484406,Low seasonality
DE,2024,0.30220825290885117,Low seasonality
DE,2025,0.29988819546875634,Low seasonality
ES,2020,0.5476894840026737,High seasonality
ES,2021,0.5008519489850949,High seasonality
ES,2022,0.3878741649292248,Moderate seasonality
ES,2023,0.3686699982855155,Moderate seasonality
ES,2024,0.3599232987784538,Moderate seasonality
ES,2025,0.36075946167233064,Moderate seasonality
FR,2020,0.4546848870089603,High seasonality
FR,2021,0.41574357940090717,Moderate seasonality
FR,2022,0.33612914450956555,Low seasonality
FR,2023,0.31611019900139986,Low seasonality
FR,2024,0.310039715292665,Low seasonality
FR,2025,0.3187923563717966,Low seasonality
