geo,indicator,date,month,value,unit,sub_indicator_short
ES,household_size_and_composition_2022,2011,,2.58,persons,DYB
ES,household_size_and_composition_2022,2011,,2.69,persons,LFS
FR,household_size_and_composition_2022,2011,,2.25,persons,LFS
FR,household_size_and_composition_2022,2015,,2.22,persons,DYB
IT,household_size_and_composition_2022,2011,,2.4,persons,DYB
IT,household_size_and_composition_2022,2011,,2.4,persons,LFS
PT,household_size_and_composition_2022,2011,,2.58,persons,DYB
PT,household_size_and_composition_2022,2011,,2.66,persons,LFS
CA,household_size_and_composition_2022,2016,,2.45,persons,DYB
SZ,household_size_and_composition_2022,2006,,4.64,persons,DHS
SZ,household_size_and_composition_2022,2007,,4.74,persons,DYB
SZ,household_size_and_composition_2022,2014,,4.04,persons,MICS
ES,TPopulation1Jan,2016,,46680.827,thousands,Medium
ES,TPopulation1Jan,2017,,46784.715,thousands,Medium
ES,TPopulation1Jan,2018,,46952.476,thousands,Medium
ES,TPopulation1Jan,2019,,47233.166,thousands,Medium
ES,TPopulation1Jan,2020,,47637.072,thousands,Medium
ES,TPopulation1Jan,2021,,47721.906,thousands,Medium
ES,TPopulation1Jan,2022,,47749.421,thousands,Medium
ES,TPopulation1Jan,2023,,47907.344,thousands,Medium
ES,TPopulation1Jan,2024,,47915.815,thousands,Medium
ES,TPopulation1Jan,2025,,47905.238,thousands,Medium
ES,TPopulation1Jan,2026,,47874.678,thousands,Medium
ES,TPopulation1Jan,2027,,47826.907,thousands,Medium
ES,TPopulation1Jan,2028,,47777.635,thousands,Medium
ES,TPopulation1Jan,2029,,47719.497,thousands,Medium
ES,TPopulation1Jan,2030,,47652.032,thousands,Medium
ES,TPopulation1Jan,2031,,47569.007,thousands,Medium
ES,TPopulation1Jan,2032,,47477.971,thousands,Medium
ES,TPopulation1Jan,2033,,47389.074,thousands,Medium
ES,TPopulation1Jan,2034,,47299.037,thousands,Medium
ES,TPopulation1Jan,2035,,47205.242,thousands,Medium
ES,TPopulation1Jan,2036,,47103.15,thousands,Medium
FR,TPopulation1Jan,2016,,65001.118,thousands,Medium
FR,TPopulation1Jan,2017,,65172.593,thousands,Medium
FR,TPopulation1Jan,2018,,65396.959,thousands,Medium
FR,TPopulation1Jan,2019,,65642.126,thousands,Medium
FR,TPopulation1Jan,2020,,65816.792,thousands,Medium
FR,TPopulation1Jan,2021,,65993.763,thousands,Medium
FR,TPopulation1Jan,2022,,66173.332,thousands,Medium
FR,TPopulation1Jan,2023,,66381.485,thousands,Medium
FR,TPopulation1Jan,2024,,66496.159,thousands,Medium
FR,TPopulation1Jan,2025,,66600.902,thousands,Medium
FR,TPopulation1Jan,2026,,66700.707,thousands,Medium
FR,TPopulation1Jan,2027,,66792.094,thousands,Medium
FR,TPopulation1Jan,2028,,66884.429,thousands,Medium
FR,TPopulation1Jan,2029,,66972.843,thousands,Medium
FR,TPopulation1Jan,2030,,67063.815,thousands,Medium
FR,TPopulation1Jan,2031,,67151.567,thousands,Medium
FR,TPopulation1Jan,2032,,67238.143,thousands,Medium
FR,TPopulation1Jan,2033,,67325.816,thousands,Medium
FR,TPopulation1Jan,2034,,67412.827,thousands,Medium
FR,TPopulation1Jan,2035,,67503.472,thousands,Medium
FR,TPopulation1Jan,2036,,67592.419,thousands,Medium
IT,TPopulation1Jan,2016,,60511.606,thousands,Medium
IT,TPopulation1Jan,2017,,60444.609,thousands,Medium
IT,TPopulation1Jan,2018,,60336.027,thousands,Medium
IT,TPopulation1Jan,2019,,60218.97,thousands,Medium
IT,TPopulation1Jan,2020,,60041.302,thousands,Medium
IT,TPopulation1Jan,2021,,59784.236,thousands,Medium
IT,TPopulation1Jan,2022,,59674.464,thousands,Medium
IT,TPopulation1Jan,2023,,59563.765,thousands,Medium
IT,TPopulation1Jan,2024,,59435.141,thousands,Medium
IT,TPopulation1Jan,2025,,59250.593,thousands,Medium
