geo,indicator,date,month,value,unit
ESP,unemployment_rate,2021,,14.9,percent
ESP,unemployment_rate,2022,,13.0,percent
ESP,unemployment_rate,2023,,12.2,percent
ESP,unemployment_rate,2024,,11.3,percent
ESP,unemployment_rate,2025,,10.8,percent
FRA,unemployment_rate,2021,,7.9,percent
FRA,unemployment_rate,2022,,7.3,percent
FRA,unemployment_rate,2023,,7.3,percent
FRA,unemployment_rate,2024,,7.4,percent
FRA,unemployment_rate,2025,,7.6,percent
ITA,unemployment_rate,2021,,9.5,percent
ITA,unemployment_rate,2022,,8.1,percent
ITA,unemployment_rate,2023,,7.7,percent
ITA,unemployment_rate,2024,,6.6,percent
ITA,unemployment_rate,2025,,6.7,percent
PRT,unemployment_rate,2021,,6.7,percent
PRT,unemployment_rate,2022,,6.2,percent
PRT,unemployment_rate,2023,,6.6,percent
PRT,unemployment_rate,2024,,6.5,percent
PRT,unemployment_rate,2025,,6.4,percent
CAN,unemployment_rate,2021,,7.5,percent
CAN,unemployment_rate,2022,,5.3,percent
CAN,unemployment_rate,2023,,5.4,percent
CAN,unemployment_rate,2024,,6.4,percent
CAN,unemployment_rate,2025,,6.9,percent
ESP,gdp_current_prices,2016,,1242.673,billions_of_dollars
ESP,gdp_current_prices,2017,,1321.288,billions_of_dollars
ESP,gdp_current_prices,2018,,1432.292,billions_of_dollars
ESP,gdp_current_prices,2019,,1403.651,billions_of_dollars
ESP,gdp_current_prices,2020,,1288.751,billions_of_dollars
ESP,gdp_current_prices,2021,,1462.216,billions_of_dollars
ESP,gdp_current_prices,2022,,1449.99,billions_of_dollars
ESP,gdp_current_prices,2023,,1619.949,billions_of_dollars
ESP,gdp_current_prices,2024,,1725.152,billions_of_dollars
ESP,gdp_current_prices,2025,,1891.371,billions_of_dollars
FRA,gdp_current_prices,2016,,2469.726,billions_of_dollars
FRA,gdp_current_prices,2017,,2587.955,billions_of_dollars
FRA,gdp_current_prices,2018,,2782.838,billions_of_dollars
FRA,gdp_current_prices,2019,,2723.094,billions_of_dollars
FRA,gdp_current_prices,2020,,2645.806,billions_of_dollars
FRA,gdp_current_prices,2021,,2968.405,billions_of_dollars
FRA,gdp_current_prices,2022,,2796.987,billions_of_dollars
FRA,gdp_current_prices,2023,,3061.093,billions_of_dollars
FRA,gdp_current_prices,2024,,3160.902,billions_of_dollars
FRA,gdp_current_prices,2025,,3361.557,billions_of_dollars
ITA,gdp_current_prices,2016,,1886.59,billions_of_dollars
ITA,gdp_current_prices,2017,,1970.027,billions_of_dollars
ITA,gdp_current_prices,2018,,2100.387,billions_of_dollars
ITA,gdp_current_prices,2019,,2019.831,billions_of_dollars
ITA,gdp_current_prices,2020,,1905.956,billions_of_dollars
ITA,gdp_current_prices,2021,,2180.657,billions_of_dollars
ITA,gdp_current_prices,2022,,2105.723,billions_of_dollars
ITA,gdp_current_prices,2023,,2305.27,billions_of_dollars
ITA,gdp_current_prices,2024,,2372.059,billions_of_dollars
ITA,gdp_current_prices,2025,,2543.677,billions_of_dollars
PRT,gdp_current_prices,2016,,206.249,billions_of_dollars
PRT,gdp_current_prices,2017,,220.785,billions_of_dollars
PRT,gdp_current_prices,2018,,242.203,billions_of_dollars
PRT,gdp_current_prices,2019,,240.142,billions_of_dollars
PRT,gdp_current_prices,2020,,229.435,billions_of_dollars
PRT,gdp_current_prices,2021,,256.226,billions_of_dollars
PRT,gdp_current_prices,2022,,257.101,billions_of_dollars
PRT,gdp_current_prices,2023,,289.781,billions_of_dollars
PRT,gdp_current_prices,2024,,308.581,billions_of_dollars
PRT,gdp_current_prices,2025,,337.936,billions_of_dollars
CAN,gdp_current_prices,2016,,1527.996,billions_of_dollars
CAN,gdp_current_prices,2017,,1649.266,billions_of_dollars
