geo,indicator,date,month,value,unit,sub_indicator_short
ES,UN_Tourism_8_9_1_TDGDP_04_2025,2016,,6.5,percent,
ES,UN_Tourism_8_9_1_TDGDP_04_2025,2017,,6.6,percent,
ES,UN_Tourism_8_9_1_TDGDP_04_2025,2018,,6.7,percent,
ES,UN_Tourism_8_9_1_TDGDP_04_2025,2019,,6.8,percent,
ES,UN_Tourism_8_9_1_TDGDP_04_2025,2020,,5.0574,percent,
ES,UN_Tourism_8_9_1_TDGDP_04_2025,2021,,5.50139,percent,
FR,UN_Tourism_8_9_1_TDGDP_04_2025,2019,,3.90442,percent,
FR,UN_Tourism_8_9_1_TDGDP_04_2025,2020,,2.83936,percent,
FR,UN_Tourism_8_9_1_TDGDP_04_2025,2021,,3.02301,percent,
FR,UN_Tourism_8_9_1_TDGDP_04_2025,2022,,3.5561,percent,
IT,UN_Tourism_8_9_1_TDGDP_04_2025,2017,,5.49858,percent,
IT,UN_Tourism_8_9_1_TDGDP_04_2025,2019,,5.7128,percent,
PT,UN_Tourism_8_9_1_TDGDP_04_2025,2016,,6.9,percent,
PT,UN_Tourism_8_9_1_TDGDP_04_2025,2017,,7.7,percent,
PT,UN_Tourism_8_9_1_TDGDP_04_2025,2018,,8.0,percent,
PT,UN_Tourism_8_9_1_TDGDP_04_2025,2019,,8.1,percent,
PT,UN_Tourism_8_9_1_TDGDP_04_2025,2020,,4.4,percent,
PT,UN_Tourism_8_9_1_TDGDP_04_2025,2021,,5.7,percent,
PT,UN_Tourism_8_9_1_TDGDP_04_2025,2022,,8.6,percent,
PT,UN_Tourism_8_9_1_TDGDP_04_2025,2023,,9.1,percent,
CA,UN_Tourism_8_9_1_TDGDP_04_2025,2016,,1.99315,percent,
CA,UN_Tourism_8_9_1_TDGDP_04_2025,2017,,1.99379,percent,
CA,UN_Tourism_8_9_1_TDGDP_04_2025,2018,,2.00237,percent,
CA,UN_Tourism_8_9_1_TDGDP_04_2025,2019,,2.01469,percent,
CA,UN_Tourism_8_9_1_TDGDP_04_2025,2020,,1.00336,percent,
CA,UN_Tourism_8_9_1_TDGDP_04_2025,2021,,0.98237,percent,
CA,UN_Tourism_8_9_1_TDGDP_04_2025,2022,,1.41368,percent,
CA,UN_Tourism_8_9_1_TDGDP_04_2025,2023,,1.577,percent,
SZ,UN_Tourism_8_9_1_TDGDP_04_2025,2016,,0.90679,percent,
SZ,UN_Tourism_8_9_1_TDGDP_04_2025,2017,,1.25407,percent,
SZ,UN_Tourism_8_9_1_TDGDP_04_2025,2018,,1.18346,percent,
SZ,UN_Tourism_8_9_1_TDGDP_04_2025,2019,,1.18396,percent,
SZ,UN_Tourism_8_9_1_TDGDP_04_2025,2020,,0.73489,percent,
SZ,UN_Tourism_8_9_1_TDGDP_04_2025,2021,,0.69022,percent,
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2016,,1243.0,thousand_trips,Africa (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2017,,1314.3,thousand_trips,Africa (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2018,,1235.9,thousand_trips,Africa (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2019,,1340.0,thousand_trips,Africa (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2020,,262.945,thousand_trips,Africa (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2021,,250.284,thousand_trips,Africa (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2022,,830.221,thousand_trips,Africa (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2023,,1025.13128294283,thousand_trips,Africa (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2024,,1297.90576947888,thousand_trips,Africa (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2016,,4573.9,thousand_trips,Americas (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2017,,5866.0,thousand_trips,Americas (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2018,,6370.5,thousand_trips,Americas (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2019,,7092.1,thousand_trips,Americas (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2020,,1320.48,thousand_trips,Americas (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2021,,1867.265,thousand_trips,Americas (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2022,,6359.413,thousand_trips,Americas (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2023,,8470.62400001076,thousand_trips,Americas (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2024,,9428.97090470807,thousand_trips,Americas (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2016,,1904.7,thousand_trips,East Asia and the Pacific (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2017,,2299.0,thousand_trips,East Asia and the Pacific (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2018,,2560.7,thousand_trips,East Asia and the Pacific (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2019,,2977.0,thousand_trips,East Asia and the Pacific (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2020,,562.403,thousand_trips,East Asia and the Pacific (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2021,,230.302,thousand_trips,East Asia and the Pacific (UNWTO total)
ES,UN_Tourism_inbound_arrivals_by_region_12_2025,2022,,1086.684,thousand_trips,East Asia and the Pacific (UNWTO total)
